genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
EH_bin.55	0.0024419662	0.011401619	0.0020826038	9.620724e-4	0	0.003317735	0.054011878	5.7865825e-4	5.376287e-5	6.9007475e-4	0	4.1489373e-4	0.001666649	0.0022817387	0.0017561358	0.003968195	0.0012206294	0.0026580787	0.987654	9.939057e-4	8.771837e-5	0	5.5531385e-5	2.5678845e-4	8.6126704e-4	1.8746265e-4	0.007812594	2.3344404e-5	0.0017289007	3.4061607e-4	0	0.97327137	0.0032972202	0.0015343641	1.945367e-4	0	0.0033180888	4.3116408e-4	3.5193458e-4	0	5.6875456e-4	9.327151e-4	0.0011986998	1.266257e-4	0.01570088	1.6553304e-4	7.5869315e-4	0.0013362903	3.1267354e-4	0	3.0064763e-5
EH_bin.56	0.99120986	0.0011713081	0.002834438	0.011760527	0.0081566665	0.04687109	0.005910007	0.010059156	0.0012569963	0.012462676	0.025763111000000002	0.0022859627	0.015286136	0.031406492	0.023628343	0.053678695	8.034154e-4	0.9902025	0.03396439	0.008415148	0.0066631422	0.013010088	0.0044649923	0.044256892	0.011530727	0.088125	0.06261541	0.0045301435	0.025370434	0.007467974	5.3785276e-4	0.069165245	0.0974034	0.011072897	0.0022353288	0.0061298925	0.19872332	0.0026113654	0.031328596	0.021078588	0.03420623	0.050929237	0.018849632	0.0016436554	0.012715491	0.0029519936	7.4817834e-4	0.041092448	0.011047758	0.0046345983	0.023031004
EH_bin.59	0.99937963	0.002021321	3.5995065e-4	6.934686e-4	9.018202e-5	0.04213094	7.3894835e-4	0.0010063846	2.1029513e-4	8.7461005e-5	0.0010390368	1.1350495e-4	4.6179412e-4	0.033637114	0.0095445225	0.0033942645	0	0.07029222	0.003080571	2.5266514e-4	6.9657835e-4	0.007579954	0	0.007890927	0.0112968525	0.0013410688	0.0039396323	3.440133e-4	0.017466158	0.0076534213	4.590731e-4	0.04492114	0.036636446	0.012520529	0.0011008425	2.5383127e-4	0.003121386	9.7373256e-4	0.0032823144	2.0135468e-4	7.568292e-4	0.05381651	0.0015914016	0.0011058958	7.4983237e-4	0.0020205437	9.795633e-5	0.025121134	0.0033013616	0	9.535193e-4
EH_bin.5	0.9997291	0.0035703997	0	0.027125578	0.008539002	0.10866213	0.0018969987	0.0011910888	2.7949736e-4	0.02897456	0.041394994	1.9564816e-4	0.017494384	0.08766041	0.04110116	0.070153125	6.879935e-5	0.9992583	0.033533234	0.023679877	0.0011746056	0.02081682	0.008189989	0	0.029657537	0.0022632119	0.0017644167	0.0012613215	0.041362025	0.017676417	7.8904256e-4	0.08355538	0.09034788	0.029696237	1.9564816e-4	0.013658104	0.06557295	0.0016017349	0	0.036202077	0.05204886	0.14243186	0.026538633	0.0097601920000000009	0.025358293	0.0011136895	1.18965545e-4	0.060396515	0.0033389186	0.00672442	0.0015644686
EH_bin.60	0.0011960453	0.19830252	6.348305e-4	0.0015089822	1.9593535e-5	7.722652e-4	7.3055894e-4	0.0016276629	1.7018385e-4	0.0010555317	1.3995382e-4	7.7842316e-4	0.0029885739	4.6576632e-4	4.7416353e-4	0.005434687	1.797007e-4	0.0041594277	0.009266622	0.0014818311	2.1161018e-4	3.30291e-5	7.798227e-4	5.1503008e-5	0.0013200444	5.978827e-4	0.2802035	0	6.085192e-4	6.012416e-4	2.012536e-4	0.78025764	4.209811e-4	3.703178e-4	1.172813e-4	4.982356e-5	0.0020858718	9.013026e-5	0	7.025682e-5	0.0012192777	3.4988456e-4	0.0014325673	2.3736167e-4	0.9936707	2.5611548e-4	9.592435e-4	5.9088506e-4	8.593164e-5	3.3588916000000003e-05	1.4863096e-4
EH_bin.61	4.6519248e-4	0.0017343401	1.350894e-4	0.0010460769	1.3301111e-4	0.0017665537	0.002030844	0.0033810453	0.0011995246	1.8566134e-4	1.6210729e-4	8.496777e-4	2.2514901e-4	0.0010297969	1.2781536e-4	0.0022809326	8.694216e-5	0.0024534315	0.021676654	1.5725792e-4	9.871918e-5	1.3543578e-4	7.436845e-4	5.2303847e-5	0.0020814158	1.12574504e-4	0.07284956	2.6325115e-5	2.3727241e-4	1.4236345e-4	0.0013089817	0.022792354	6.619381e-4	1.2712259e-4	3.810214e-5	1.0356854e-4	1.0564684e-4	9.0405985e-5	0	1.5136942e-4	0.0035691313	1.5864345e-4	1.3474302e-4	2.0228772e-4	0.0031302639	7.3086834e-5	3.5331075e-4	1.7388431e-4	5.7845977e-5	1.0737876e-4	7.24287e-4
EH_bin.62	0.08338906	0.0065569505	5.2375806e-4	0.0033749824	1.6825637e-4	0.0011076076	0.0032276378	3.9323917e-4	1.0696298e-4	0.001204956	5.634185e-4	7.5475e-4	0.0018402439	0.0013813848	8.992101e-4	0.19622105	8.6195336e-4	0.0114909485	0.9948155	0.0012530292	1.7306369e-4	4.030942e-4	1.4421974e-4	0.0010157877	2.8964132e-4	1.9109117e-4	0.038782373	2.0046544e-4	6.242311e-4	9.7348326e-5	3.4756958e-4	0.5110518	0.0048965006	6.778328e-4	5.461121e-4	1.00713456e-4	0.0050736507	8.5906894e-4	5.6774507e-4	0.0027740668	5.9731014e-4	4.0645932e-4	0.006703334	2.8892022e-4	0.39957476	9.278137e-5	8.218122e-4	0.002429622	0.0010472757	2.4084697e-4	6.381724e-4
EH_bin.63	0.015668865	0.004551742	5.4301013e-4	0.0014202101	1.7501501e-4	0.06871174	0.0043110484	0.98138833	0.0021900057	6.5273256e-4	6.0076895e-4	0.011661679	9.6837775e-4	0.001853691	5.824175e-4	0.065237716	4.810015e-4	9.706958e-4	0.11701182	3.0946362e-4	0.0012985109	6.693455e-4	0.010815966	2.0553639e-4	0.08061411	0.0013958702	0.51575494	3.8055138e-4	0.0013962566	0.0014045631	0.002553944	0.25512376	0.0020468642	6.20859e-4	2.445574e-4	2.466823e-4	0.002358646	5.331583e-4	1.2710803e-4	9.967742e-4	0.011702051	4.527982e-4	0.0019871737	0.0010757821	0.052855305	7.3753565e-4	0.009443084	8.659959e-4	6.156433e-4	3.320649e-4	0.0019892985
EH_bin.64	1.20597804e-4	0.0012971099	7.737093e-4	0.001867899	8.2929975e-5	2.9678602e-4	0.001045586	2.3694278e-5	7.92847e-5	0.0014161888	6.531115e-5	8.186677e-4	0.003335729	8.6575244e-5	1.8833914e-4	0.1547051	0.0020595796	0.005924481	0.9999192	0.0024745332	7.92847e-5	1.385204e-4	1.9502213e-4	4.948459e-4	1.4368453e-4	6.622247e-5	0.0013593832	1.9441459e-5	1.06928026e-4	4.5869692e-5	9.143561e-5	0.08283763	1.3335625e-4	5.8050983e-4	3.617934e-4	4.556592e-5	0.012657605	6.9746235e-4	3.3597273e-4	1.9593345e-4	3.4235194e-4	4.981874e-5	0.0025838914	0.0014766395	0.0079767695	0	0.0013593832	3.5237645e-5	0.0013912794	0	0
EH_bin.65	0.24626917	0.05328132	5.224276e-4	0.0012932383	1.423482e-4	0.0029917331	0.005464912	9.102538e-5	2.2126915e-4	0.0012089914000000001	3.5102872e-4	3.365034e-4	0.0028353438	0.0025506474	0.0018069507	0.18421648	6.9140556e-4	0.0043517877	0.9826461	0.0010172571	7.746841e-5	1.5638935e-4	1.2056021e-4	7.8920944e-5	0.0011068298	3.5732304e-4	0.0019696343	1.0845577e-4	0.0015377479	6.405669e-4	5.1032315e-4	0.57010114	0.002704616	0.0013726434	1.2152857e-4	3.776585e-5	0.0026077803	5.7036115e-4	1.5396846e-4	4.207503e-4	1.9609192e-4	0.0039905915	0.0019115331	7.180353e-4	0.8658499	2.1449066e-4	5.403422e-4	0.0016578239	2.7259198e-4	3.5054455e-4	1.3024376e-4
EH_bin.67	0.197578	0.05656047	0.0012869389	2.91532e-4	2.9386425e-5	0.0028500168	0.061052397	1.3993536e-4	9.74883e-5	1.0168636e-4	0	0	4.7951183e-4	0.002487118	0.001286006	9.22174e-4	0	0.0010271255	0.06276101	1.8564757e-4	1.0261926e-4	8.0882636e-4	0	0	0.0011022242	2.5748106e-4	1.739863e-4	0	0.0019180473	6.115175e-4	7.136703e-5	0.98540473	0.0025706126	0.001093828	0	0	6.1711494e-4	6.7635425e-5	0	0	7.090058e-5	0.0011106203	3.4843903e-4	3.0505907e-4	0.63889027	3.5916742e-5	0	0.0010653746	0	0	3.6383193e-5
EH_bin.68	0.0014671952	0.0032390861	0.001036035	7.393302e-4	0	0.002755464	0.12532793	0.0045454213	3.0573803e-5	5.4754905e-4	0	0.0015947018	0.0015801098	0.0012618643	9.59948e-4	0.007122654	7.664297e-4	0.0027460835	0.9975517	8.730906e-4	0	0	3.040009e-4	2.0463603e-4	7.72336e-4	1.9768743e-4	0.0072161127	4.7945283e-5	0.0011155964	1.3167581e-4	0	0.96592134	0.0014932523	0.0010704306	1.3931927e-4	0	0.0023593944	4.5374304e-4	1.1013518e-4	1.6885078e-4	0.0065212534	3.9468e-4	0.0011538137	1.0075458e-4	0.0615138	5.767331e-5	6.38923e-4	7.1813696e-4	6.656751e-4	0	1.1221976e-4
EH_bin.69	7.604137e-4	0.0024102293	0.0038426127	0.0078492835	1.6422884e-5	7.528866e-4	0.0014154473	0.0021142752	0	0.00593807	1.7449314e-5	0.0029480788	0.013556919	2.6191078e-4	1.257377e-4	0.020139588	0.008227694	0.025823103	0.9969744	0.009205197	1.0264303e-5	2.5660756e-5	0	0.001898896	2.2632787e-4	2.3026252e-4	0.0032943278	0	1.233427e-4	5.7480094e-5	1.0264303e-5	0.20555052	1.1256518e-4	0.002705841	0.002562141	0	0.02611803	0.010568297	0.001338465	3.4727556e-5	4.8926508e-5	8.023263e-5	0.012611749	0.0038739187	0.008828156	1.505431e-5	0.0048326044	0.008692154	0.0048799915	0	0
EH_bin.6	1.9881806e-4	1.5061974e-4	5.265666e-4	0.0016248857	0	2.6147586e-4	0.039767828	4.614989e-4	0	0.0011742315	0	7.898499e-4	0.003531129	1.457999e-4	6.687517e-5	0.03270316	0.0020399936	0.0060519013	0.99991566	0.0017279097	4.57884e-5	1.4881231e-4	2.5906594e-4	5.850071e-4	2.0544532e-4	0	5.8621203e-4	0	0	0	0	0.0070008053	0	0.0010790398	2.4822133e-4	0	0.006021777	0.0010687977	4.3378485e-4	8.916689e-5	0.0040305844	9.037185e-5	0.0028334586	0.0016525998	0.005080705	0	0.0013832917	4.2173528e-5	0.0010874745	0	0
EH_bin.70	9.6835784e-4	4.5946107e-4	5.396383e-4	2.4219332e-4	6.189846e-5	0.23028305	0.0023450793	0.9881089	0	4.6693874e-4	4.3536638e-4	0.0020085843	5.591633e-4	3.0658435e-4	3.9507006e-4	0.008478012	1.1631926e-4	0.3392439	0.011765693	2.567332e-4	9.342929e-4	3.1697e-4	6.405868e-4	7.311496e-5	0.00960257	8.2129706e-4	0.05308977	3.0990774e-4	0.0011195729	5.724569e-4	1.1050329e-4	0.7469566	4.104408e-4	5.948899e-4	0	1.1881182e-4	0.0018257969	1.1050329e-4	0	4.665233e-4	0.002159384	6.493107e-4	5.541782e-4	5.2634464e-4	0.009937404	5.4919306e-4	0.087007225	8.3832955e-4	4.4284403e-4	2.642109e-4	0
EH_bin.71	0.21351013	0.028742692	0.012155806	0.0033864693	0.005815207	0.0617267	0.013834637	0.039845657	0.0028027766	0.006762193	0.0055865766	0.009120284	0.032939885	0.013979131	0.015940778	0.9232116	0.0018955723	0.17364891	0.84026027	0.004172271	0.006126144	0.003970848	0.0018960296	0.44515014	0.005757135	0.042108636	0.08128052	0.016730923	0.039195888	0.00739527	0.0011575542	0.9924152	0.1984491	0.009550566	0.0033267967	0.0027565933	0.20386192	0.0046789153	0.12702301	0.0084410235	0.008127115	0.013240884	0.0111914445	9.405843e-4	0.01484038	0.0043764375	0.0016020113	0.081044346	0.027488198	0.0018105219	0.09847853
