genome	E25	E31	H19	H40	H45	P33	E44	E56	H06	H43	P05	P65	P75	H09	H47	P43	P45	E18	E48	H34	H37	P09	P64	E58	P36	P58	E27	H08	H20	H23	P53	E34	H16	H25	P14	P34	P51	P60	P72	H32	P48	H07	H12	P01	E30	H10	P47	P67	P79	H39	P25
PK_bin.1	415	161	362	153	595	13611	101	552673	82	1073	1633	511430	426	122	853	83691	277	23460	21546	158	1560	1447	148396	61	5028	141	48857	44	170	282	521	103205	161	212	75	692	376	852	100	2715	1599172	728	1783	143	920	163	210941	150	643	644	56
PK_bin.20	0	2	113	0	181	259	2	2349	0	110	407	1692	0	2	88	336	4	346	225	2	1171	273	647	0	182	0	215	0	10	0	339	445	2	0	0	120	12	490	10	341	663632	118	4	42	27	45	3618	0	297	119	0
PK_bin.21	120	368	2	503	263	11856	41	14	0	1609	543	103	593	43	460	1300548	7	2288	24937	970	9	553	235	4	128	0	64	0	36	5	34	45137	54	22	2	288	914	2	0	1126	860	267	484	4	3735	2	16	17	6	283	1
PK_bin.22	507	314	1456	534	154	850	429	373	154	38	279	167	3667	267	96	716	1	301	7786	23	302	189	223	46	54	104	66	9	484	42	461546	1599	3959	78	57	42	2119	341	105	67	1695	46	113	39	159	135	558	78028	392	42	500
PK_bin.24	38	10	190	170	95	7477	60	23680	2	14	19	535730	357	62	16	496	292	157	3672	103	519	54	481	72	107	30	407	3	23	159	353	2060	17	182	122	77	48	828	93	16	45773	19	2227	54	277	82	5465	139	507	66	4
PK_bin.25	5520	277	153	41	291	13152	159	23075	30	271	704	5512	228	92	303	7059	83	2166	20642	41	1223	450	20369	49	2470	25	16535	9	91	26	503	50699	170	100	77	210	614	548	145	742	713191	275	78	66	5503	215	126706	140	364	200	42
PK_bin.26	176702	84	2867	786	587796	4730	573	2533	274	6673	54595	1033	3938	5831	1833012	95837	826	39521	7472	9603	523578	7081	2977	114778	1122	2638	7987	628	16457	82407	1682	85747	194961	2912	4103	3142	116169	3699	21996	14685	10587	3799	123943	308	383	63590	420	25093	5812829	3548	9897
PK_bin.27	594	63	93	62	36	1282041	134	32268	25	32	14	0	12	799	340	14	11	65	87	1	175	2373	1	0	358	114	36	65	586	171	47	1065	2156	468	0	1901	385	9	2	20	20	556	267	44	20	65	37	1038	3	16	76
PK_bin.28	4	6	54	2	61	532	2	29208	7	44	177	94137	75	17	60	968	47	93	276	8	164	92	7167	5	370	7	534	2	10	44	62	2372	5	22	18	60	35	95	6	159	141591	52	345	29	93	22	5502	23	93	43	2
PK_bin.29	156	437	212	67	430	319	17	38262	268	377	569	24393	49	844	1131	945	12	7416	922	267	1071	347	1389	27	53	11	844	9	151	48	373	5896	79	24	20	199	114	475	166	465	1072051	424	362	50	468	240	3360	27	277	156	12
PK_bin.31	8307	34	450	359	641	795	583	151	73	320	4001	217	1165	525	10289	1884	206	3032	683	898	10372	3676	288	5417	34	778	1027	516	451	151	133	4697	29165	537	810284	306	58063	400	3610	742	917	313	890	105	174	620	199	57365	3958	390	6337
PK_bin.32	87	5	202	91	2406	13	4	3	167	306	12	125	1220905	14	152	263	483	517	522	269	377	18	11	152	57	19	85	22	335	4	122	58	40	1912	138	190	1495	678	207	9	294	6	187	34	218	40	181	18	657998	30	1
PK_bin.33	999	172	1419	55	2511	50014	300	1247563	79	4347	6117	4911262	2940	185	3758	12817	2635	4652	17341	940	4773	5300	752940	557	3850	794	18972	152	707	2823	1477	166667	281	1711	780	2808	1167	3783	647	11173	3072983	2688	16674	697	3776	644	330680	808	3571	2458	46
PK_bin.35	29	8	35	12	44	227	8	57361	5	54	161	106169	101	7	57	598	76	140	1234	20	229	104	6177	17	230	16	457	4	33	53	59	1767	28	38	19	50	448	111	11	149	164618	47	304	24	184	22	28017	9	110	46	1
PK_bin.38	8	115	42	6	38	432	399	3869	0	94	73	1924	55	4	57	817	94	66	6036	24	18	77	14259	22	34	0	255	0	2	1	5	1678	4	47	35	77	31	33	18	208	7345	27	0	7	1798	0	469336	0	56	36	0
PK_bin.39	389	123	560	68	632	840	135	1415892	82	597	1648	451094	496	91	627	7600	308	1354	15272	119	2847	1238	41352	78	4757	359	98342	69	313	383	923	78002	122	236	112	512	774	1295	116	1643	3144795	665	1793	300	861	262	507826	256	897	517	60
PK_bin.3	372	128	839	84	1706	4294	289	964992	88	2427	4209	819287	638	182	2138	5867	562	4333	18873	186	4396	3344	378008	109	1404	357	47372	81	278	572	1451	127212	155	391	167	1572	783	2210	173	6279	3937519	1674	2994	345	1007	387	361128	263	1421	1509	57
PK_bin.40	418	24	89	208	190	239	42	22586	1	219	562	47416	204	50	289	987	24	507	1752	29	511	357	26016	15	99	16	184	7	56	8	135	979	281	31	56	163	399	269	114	493	383518	185	172	24	239	82	12734	47	203	131	50
PK_bin.41	4787	29	2779	298	2190	343	581	77	13	2333	1612750	17	724	313	2926	4000	12	11435	349	639	261	5286	1217	4429	60	959	281	2451	231	125	19	1750	10213	212	8374	1993	5294	126	954	6973	9049	2436	582	33	44	105	103	236381	2443	1425	131823
PK_bin.42	86	0	14	8	4	8	0	29403	0	8	3	155626	142	9	17	25	65	25	42	22	17	40	3778	17	24	11	26	10	6	102	2	36	34	48	19	34	33	43	12	57	359	17	462	4	8	4	25813	4	95	14	1
PK_bin.43	265	1	681	2	268	679	5	62276	0	82	261	599028	887	175	199	407	174213	235	1961	490	2314	215	3957	235	401	309	544	37	303426	813	588	1315	521	699	385	93	778	1540	269	248	482523	245	2233	127	127	161	104137	285	1514	116	2
PK_bin.44	6	0	52	0	64	77	0	13993	0	35	117	1523	4	0	22	287	2	98	103	0	261	88	309	0	36	4	67	0	5	4	101	1042	1	2	2	28	10	100	2	129	227210	30	14	2	8	23	11806	4	76	38	0
PK_bin.45	667	120	177	152	358	3574	102	73762	21	317	858	92806	181	58	356	2451	71	750	4350	56	1270	598	27795	144	1551	29	7045	14	96	62	430	11018	1078	45	61	247	1803	559	168	858	872160	203	389	59	411	139	68785	353	380	207	111
PK_bin.46	2647	975	101	377	4823	927	299	1508	56	18356	330	69	14228	414	611	6037	127	692	1613	201	848	76	31	3379	1966	1566	401	1069	30094	943	1563	1838	7117	181	264	101	3618	319	221	117	369	88	5280	1459867	1972	852	99	2228	1267	32	734
PK_bin.47	233	86	959	29	1471	2899	172	582306	30	1042	2989	297601	309	47	994	6245	300	2512	7499	90	7408	2166	44606	80	871	278	14420	61	217	350	2448	34467	52	156	94	871	570	3494	160	3119	5942657	1005	1113	432	1528	584	590244	189	1986	1011	27
PK_bin.48	716	7	212	81	182	13938	370	140	31	156	3386	33	409	1333	431	3042	438	645	66	514	975	28465	1090	15	724	451	12	95	756	212	4357	765	1101	239	825	3856	1056	351	5642	1499	18278	785	1298	744	245	508	3900	552292	582	474	12447
PK_bin.49	27	4	1	94	281	38	6	2	18	605	641	4	66	4	424	722	6	840	144	71	8	551	263	2	0	4	0	8	28	0	4	16	6	0	0	256	153	9	0	1222	965	319	60	16	59	23	2	4	30	219	0
PK_bin.4	229	77	275	43	502	1288	172	623991	13	671	1266	173035	176	58	626	8874	105	10671	21607	54	1521	1005	79063	39	2389	156	31326	39	165	151	594	79410	94	235	44	491	476	732	42	1720	1919752	562	568	185	1441	146	267565	119	475	404	8
